,MATERIAL_DESCRIPTION,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,UC2844(8PIN),BOX-37,29,https://www.ti.com/lit/ds/symlink/uc2845aq.pdf?ts=1751260925607,
,FST3345 ,BOX-38,19,https://www.mouser.com/ds/2/308/fst3345-1192423.pdf?srsltid=AfmBOorMQYenoZUpjtKLzIR1kpDE_LyW-D4e5BGxPa6-KcwUZVlR7yu-,
,1778,BOX-38,49,https://www.analog.com/media/en/technical-documentation/data-sheets/1778fb.pdf,
,TRAN.K2865,BOX-38,20,https://datasheet4u.com/pdf-down/K/2/8/K2865_Toshiba.pdf,
,VP1176,BOX-38,10,https://www.ti.com/lit/ds/symlink/sn65hvd1176.pdf?ts=1751279605106&ref_url=https%253A%252F%252Fwww.google.com%252F,
,R6S P812(STTH3R06S),BOX-38,18,https://www.st.com/resource/en/datasheet/stth3r06.pdf,
,IR2110S,BOX-38,10,https://www.infineon.com/dgdl/Infineon-IR2110-DataSheet-v01_00-EN.pdf?fileId=5546d462533600a4015355c80333167e,
,UCC35701,BOX-38,10,https://www.ti.com/lit/ds/symlink/ucc25702.pdf?ts=1751279743710&ref_url=https%253A%252F%252Fwww.google.com%252F,
,ADJ238 ,BOX-39,20,….,
,N02A,BOX-39,19,https://www.prolabs.com/Datasheets/MCP7Y00-N02A-C_datasheets_EN.pdf,
,SMD INDUCTOR,BOX-39,10,,
,LM239,BOX-39,10,https://www.ti.com/lit/ds/symlink/lm139.pdf,
,LM224,BOX-39,20,https://www.farnell.com/datasheets/81842.pdf,
,L4949,BOX-39,10,https://www.onsemi.com/pdf/datasheet/l4949-d.pdf,
,LM258,BOX-39,50,https://www.ti.com/lit/ds/symlink/lm258.pdf?ts=1751266065059,
,24N06,BOX-39,10,https://www.onsemi.com/download/data-sheet/pdf/ntd24n06-d.pdf,
,RC4157MC,BOX-39,15,https://www.farnell.com/datasheets/28336.pdf,
,P701(OPTO COUPLER),BOX-39,15,https://www.mouser.com/datasheet/2/408/TLP701_datasheet_en_20190925-1150519.pdf?srsltid=AfmBOorjnv_pMpAzPVKzufNC1pBYpgmj4wYvijT59MWhOa8Po9On0-Ys,
,SMD INDUCTOR ,BOX-40,19,,
,A1458,BOX-40,19,https://www.farnell.com/datasheets/2763.pdf,
,74HC132,BOX-40,50,https://www.mouser.com/datasheet/2/308/74HC132-D-310410.pdf?srsltid=AfmBOoqhrofWWmTFroXngUt3quu0PRbEAJZvzZiBR7vK5Gor29RFChHz,
,L2505S,BOX-40,5,https://www.infineon.com/dgdl/irl2505spbf.pdf?fileId=5546d462533600a40153565b75022502,
,BCP53/BCP52,BOX-40,10,https://docs.rs-online.com/8ade/0900766b8046668f.pdf,
,7555,BOX-40,5,https://www.analog.com/media/en/technical-documentation/data-sheets/icm7555-icm7556.pdf,
,N80C186XL20 ,BOX-41,2,https://bg-electronics.de/datenblaetter/Schaltkreise/N80C186XL20.pdf,
,SC26C562C1A,BOX-41,2,https://media.digikey.com/pdf/Data%20Sheets/NXP%20PDFs/SC26C562.pdf,
,OPTO.354,BOX-41,25,https://www.farnell.com/datasheets/36148.pdf,
,ZT3243LEEY,BOX-41,2,https://www.ineltro.ch/media/downloads/SAAItem/45/45975/f1e5d4ae-269b-438e-9033-4e731fe82c8f.pdf,
,TAE2453,BOX-41,30,https://tvsat.com.pl/PDF/T/taf1453_siemens.pdf,
,ADM2486BRWZ ,BOX-42,30,https://www.analog.com/media/en/technical-documentation/data-sheets/adm2486.pdf,
,M430F1232,BOX-42,17,https://www.ti.com/lit/ds/symlink/msp430f1122.pdf,
,LM339,BOX-42,5,https://www.ti.com/lit/ds/symlink/lm339-n.pdf,
,MAX5035,BOX-42,25,https://www.analog.com/media/en/technical-documentation/data-sheets/max5035.pdf,
,HC124,BOX-42,20,….,
,9L05,BOX-42,10,https://sycelectronica.com.ar/semiconductores/79L05.pdf?srsltid=AfmBOootpyqzqCdZbmKPrUTPeQAExk_B0xjXNXUgdudYB-bMJKakvZDQ,
,24LC08,BOX-43 (SEEMA'S DRAWER),26 +1 MASTER IC,http://ww1.microchip.com/downloads/en/devicedoc/21710k.pdf,BCU PLATEMILL
,A786J ,BOX-44,13,https://docs.rs-online.com/0197/0900766b80f8ba81.pdf,
,A788J,BOX-44,20,https://docs.rs-online.com/0197/0900766b80f8ba81.pdf,
,34064,BOX-44,10,https://www.onsemi.com/download/data-sheet/pdf/mc34064-d.pdf,
,"ADS7816U,8840J (8 PIN)",BOX-44,20,https://www.ti.com/lit/ds/symlink/ads7816.pdf?ts=1751280619011&ref_url=https%253A%252F%252Fwww.google.com%252F,
,2BS01,BOX-44,10,"https://media.digikey.com/pdf/Data%20Sheets/Infineon%20PDFs/ICE2AS01(G),%20ICE2BS01(G).pdf",
,LM339,BOX-44,17,https://www.ti.com/lit/ds/symlink/lm339-n.pdf,
,7555,BOX-45,22,https://www.analog.com/media/en/technical-documentation/data-sheets/icm7555-icm7556.pdf,BCU BAF
,LNK66666,BOX-45,5,https://lcsc.com/datasheet/lcsc_datasheet_2411220318_POWER-INTEGRATIONS-LNK6666E_C567934.pdf,
,CNY17F-3,BOX-45,6,https://www.vishay.com/docs/83607/cny17f.pdf,
,REF195,BOX-45,35,https://www.analog.com/media/en/technical-documentation/data-sheets/REF19xSeries.pdf,
,BRT12H,BOX-45,1,https://www.cselettronica.com/datasheet/BRT12H.pdf,
,TRANS.F840 ,BOX-46,25,https://dl.mitsubishielectric.com/dl/fa/document/catalog/inv/l06085eng/l06085enge.pdf,
,LM336,BOX-46,50,https://www.ti.com/lit/ds/symlink/lm136-2.5-n.pdf?ts=1751215313200,
,75551D,BOX-46,11,https://www.nxp.com/docs/en/data-sheet/ICM7555.pdf,
,ACPL=M601,BOX-46,50,https://www.farnell.com/datasheets/2349386.pdf,
,N4300,BOX-46,10,https://www.onsemi.com/download/data-sheet/pdf/ncp4300a-d.pdf,
,A314 ,BOX-47,40,https://www.elecrow.com/download/A3141-2-3-4-Datasheet.pdf?srsltid=AfmBOooT1mi45kSOXljadifhutnAO6Pp9QB0YuAYDM6BFJKCJrfCUS5E,
,6C,BOX-47,10,,
,5B,BOX-47,10,,
,J1 = SS =J3Y MOSFET,BOX-47,17,https://lcsc.com/datasheet/lcsc_datasheet_1810161230_Jiangsu-Changjing-Electronics-Technology-Co---Ltd--S8050-J3Y_C2146.pdf,
,UC2845,BOX-47,10,https://www.ti.com/lit/ds/symlink/uc2845.pdf?ts=1751264075710&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FUC2845,
,11C9ZS = OPA277U,BOX-47,10,https://www.ti.com/lit/ds/symlink/opa277.pdf?ts=1751267420560&ref_url=https%253A%252F%252Fwww.google.com%252F,
,HCNR201 & TRANS.Z7  ,BOX-48,50,https://www.mouser.com/datasheet/2/678/AV02_0886EN_2021_06_25-2902150.pdf?srsltid=AfmBOooF9WgftaZmRu9KhfYjYMppIFGRGHnxXH3Y69iA-WBpLeG_QeQa,
,TRANS.27,BOX-48,20,https://www.mouser.com/datasheet/2/678/AV02_0886EN_2021_06_25-2902150.pdf?srsltid=AfmBOooF9WgftaZmRu9KhfYjYMppIFGRGHnxXH3Y69iA-WBpLeG_QeQa,
,13844,BOX-48,10,http://images.100y.com.tw/pdf_file/38-Fuji-FA13842N.pdf,
,634B1,BOX-49,20,….,
,LT1365,BOX-49,4,https://www.analog.com/media/en/technical-documentation/data-sheets/13645fa.pdf,
,LT1366,BOX-49,2,https://www.analog.com/media/en/technical-documentation/data-sheets/1366fb.pdf,
,S19110DY,BOX-49,40,https://www.mouser.com/datasheet/2/427/si9110-1765159.pdf?srsltid=AfmBOooXNiysZyh0IWatMhobbHvCEZSUYtrrLdzfp544tH5NGxSdEGD0,
,TL082C,BOX-50,50,https://www.st.com/resource/en/datasheet/tl082.pdf,
,TRANS.Y5,BOX-50,21,https://alltransistors.com/transistor.php?transistor=34674,
,HCPL0601,BOX-50,150,https://www.onsemi.com/pdf/datasheet/hcpl0639-d.pdf,
,A312T,BOX-50,4,https://www.tme.eu/Document/5074002c4259c1b62cdb53bff6ba60d6/ACPL-312T-300E.pdf,
,A7800,BOX-50,9,https://www.mouser.com/datasheet/2/678/V02-0410EN-908738.pdf?srsltid=AfmBOor6M91yFTRnjr56GkXsIhEUoY9JM-bZQklTodjjdAUdsq683e4r,
,13844,BOX-50,10,http://images.100y.com.tw/pdf_file/38-Fuji-FA13842N.pdf,
,13845,BOX-50,5,http://images.100y.com.tw/pdf_file/38-Fuji-FA13842N.pdf,
,74HC86,BOX-50,6,https://www.ti.com/lit/ds/symlink/sn54hc86.pdf,
,74HCT27,BOX-50,5,https://www.ti.com/lit/ds/symlink/cd74hc273.pdf,
,UC3907,BOX-50,10,https://www.ti.com/lit/ds/symlink/uc3907.pdf?ts=1751255023840&ref_url=https%253A%252F%252Fwww.google.com%252F,
,LT031 11735 ,BOX-50,5,https://www.analog.com/media/en/technical-documentation/data-sheets/lt0117.pdf,
,TRAFO 5032X087,,10,https://www.farnell.com/datasheets/85295.pdf,
,SMD OPTO COUPLER A1458 ,,48,..,
,UCC3804 (8 PIN),BOX-50,10,https://www.ti.com/lit/ds/symlink/ucc3804.pdf?ts=1751281620499&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FUCC3804,
,MC33363,BOX-50,10,https://www.onsemi.com/pdf/datasheet/mc33363a-d.pdf,
,7705AC (8 PIN),BOX-50,10,https://www.ti.com/lit/ds/symlink/tl7705a.pdf?ts=1751262332798&ref_url=https%253A%252F%252Fwww.google.com%252F,
,SFH756V (FIBER OPTIC),,7,https://docs.rs-online.com/e049/0900766b80db88a2.pdf,
,SFH551V2 (FIBER OPTIC),,4,https://docs.broadcom.com/doc/AV02-3033EN,
,SK45WT08,,5,..,
,5032X087,,25,https://www.farnell.com/datasheets/85295.pdf,
