,,,,,
,MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK,
,180?F/450V ,BOX 2,10,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*6dpye0*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,680?F/200V ,BOX 2,9,https://docs.rs-online.com/3fbe/A700000008615655.pdf,
,4.7?F/305V ,BOX 2,50,https://docs.rs-online.com/b9d7/0900766b81399d48.pdf,
,8.2?F/305V ,BOX 2,50,https://uk.rs-online.com/web/p/film-capacitors/1726028,
,180?F/450V ,BOX 3,10,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*6dpye0*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,470?F/450V ,BOX 3,10,https://www.vishay.com/docs/28458/193pursi.pdf,
,4700?F/25V ,BOX 3,100,http://www.samwha.com/electric/product/list_pdf2/SD.pdf,
,6800?F/50V ,BOX 3,10,https://docs.rs-online.com/fef7/0900766b81581716.pdf,
,6800?F/50V ,BOX 3,50,https://docs.rs-online.com/fef7/0900766b81581716.pdf,
,6800?F/50V ,BOX 3,10,https://docs.rs-online.com/fef7/0900766b81581716.pdf,
,180?F/450V ,BOX 3,10,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*6dpye0*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,220?F/400V ,BOX 3,40,https://www.farnell.com/datasheets/2321299.pdf?_gl=1*c8dp2k*_gcl_au*MTUxOTc1ODEuMTc1MTAxNTM4MQ..,
,6800?F/50V ,BOX 3,40,https://docs.rs-online.com/fef7/0900766b81581716.pdf,
,6800?F/50V ,BOX 3,23,https://docs.rs-online.com/fef7/0900766b81581716.pdf,
,8200?F/71V ,BOX 3,4,https://www.nichicon.co.jp/english/series_items/catalog_pdf/e-lks.pdf,
,330?F/450V ,BOX 3,5,https://www.rs-online.vn/p/capacitor-snap-in-series-ls-330uf-450v/,
,6800?F/50V ,BOX 3,50,https://docs.rs-online.com/fef7/0900766b81581716.pdf,
,5600?F/80V ,BOX 3,36,https://twen.rs-online.com/web/p/aluminium-capacitors/7714771?srsltid=AfmBOoq6l_y8lrQECSINB4pwUvkjmMtdY5wH-VL5Nn7KqFd6nFpJDEww,
