MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
74LS04,I1_2_7,8,https://www.ti.com/lit/ds/symlink/sn74ls04.pdf?ts=1751220840306&ref_url=https%253A%252F%252Fwww.google.com%252F
LM139,I1_3_1,8,https://www.st.com/resource/en/datasheet/lm139.pdf
ULN 2803,I1_3_1,3,https://www.ti.com/lit/ds/symlink/uln2803c.pdf?ts=1751260691476&ref_url=https%253A%252F%252Fwww.google.com%252F
MC3487,I1_3_1,12,https://www.ti.com/lit/ds/symlink/mc3487.pdf
HCF4086,I1_3_1,13,https://www.digchip.com/datasheets/parts/datasheet/456/HCF4086-pdf.php
SG3525A,I1_3_2,2,https://www.onsemi.com/download/data-sheet/pdf/sg3525a-d.pdf
5M0365R (4 LEG),I1_3_2,10,https://www.sea12.go.th/ict/images/stories/datatec/5m0365.pdf
CD4071,I1_3_2,9,https://www.ti.com/lit/ds/symlink/cd4071b-mil.pdf?ts=1751251956195&ref_url=https%253A%252F%252Fwww.google.com%252F
L603C,I1_3_3,10,https://www.st.com/resource/en/datasheet/l603.pdf
AD790JN,I1_3_3,7,https://www.analog.com/media/en/technical-documentation/data-sheets/ad790.pdf
TD62004,I1_3_3,2,https://www.mouser.com/ds/2/408/DST_TD62003APG-TDE_EN_11444-480756.pdf?srsltid=AfmBOoo4mW8BhR7w4j844a75LtZbRtbGT2XwthFzjBvS4Dz81jca0SUp
HA17902P,I1_3_3,4,https://www.renesas.com/en/document/dst/ha17902-series-datasheet?srsltid=AfmBOoqVH6jS7Lmfn2TM8-e9LOYrtKBEWcpgSOL5eOfS2xL8VJCh4uNv
A3120,I1_3_3,6,https://www.mouser.com/datasheet/2/678/V02-0161EN_DS_HCPL-3120_2016-03-21-908803.pdf?srsltid=AfmBOorlXclz5IhaqS4R5Mk_FhQsENqYrJc_bnQ1kZipmkvmh7sOVhir
SN74LS07N = SN7407,I1_3_4,20,https://www.ti.com/lit/ds/symlink/sn7407.pdf?ts=1751185655693&ref_url=https%253A%252F%252Fwww.google.com%252F
MC14105BCP,I1_3_4,1,https://www.onsemi.com/download/data-sheet/pdf/mc1455-d.pdf
M82088,I1_3_4,1,….
M74HCT138B = CD74HCT138 = SN74HCT138,I1_3_5,37,https://www.ti.com/lit/ds/symlink/sn54hct138.pdf?ts=1751218943356&ref_url=https%253A%252F%252Fwww.google.com%252F
TC4016BP,I1_3_6,6,https://bg-electronics.de/datenblaetter/Schaltkreise/TC4016BP.pdf
93C56,I1_3_6,3,https://docs.rs-online.com/dad3/0900766b813214b4.pdf
HCF4019B,I1_3_6,10,https://www.nikom.biz/pdf/4019BE_STM.pdf?srsltid=AfmBOoqjwUBpuMY4aWnYtvx3oSC-7627xR0VaqHdq488lz1080CYizz1
SG2524,I1_3_6,19,https://www.ti.com/lit/ds/symlink/sg3524.pdf?ts=1751189379278&ref_url=https%253A%252F%252Fwww.bing.com%252F
