MATERIAL_DESC,STORAGE_LOCATION,SUBSTORE_STOCK,DATASHEET LINK
74LS42,I1_11_3,1,https://www.futurlec.com/Datasheet/74ls/74LS42.pdf
74HC132N,I1_11_4,28,https://assets.nexperia.com/documents/data-sheet/74HC_HCT132.pdf
74HC32= M74HCT32B,I1_11_4,4,https://assets.nexperia.com/documents/data-sheet/74HC_HCT32.pdf
CD4093,I1_11_4,4,https://www.ti.com/lit/ds/symlink/cd4093b.pdf?ts=1751202320295&ref_url=https%253A%252F%252Fwww.google.com%252F
HEF4093BP,I1_11_5,7,https://assets.nexperia.com/documents/data-sheet/HEF4093B.pdf
MCT2E,I1_11_5,6,https://www.farnell.com/datasheets/94950.pdf
UC3845,I1_11_5,27,https://www.ti.com/lit/ds/symlink/uc3845.pdf?ts=1751190743064&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FUC3845%253Fbm-verify%253DAAQAAAAL_____2UcVO6GhRsx0GlMZOT4IJXdKWfQU66Ldt0dNft8FShgI0ufD13esgje13IRUmOCdaw61Y5R5u-f7A15QZV0tTRRiUDM0HZOxhj0_jPcUcyMH-Xrykx62dQ6jZykgdg4rkTTmHreVdWBxaXJnm6Q1toFt4ggsE_zgZbcNtwoCSsgr8vc943LpxzRnJv5gARIMazb7AVzkKHn_9RrszH631ofqqLxJNFTZNCn8mi85KrUCn_qVZIP-yiaClt7wyXfXUWb8mlFGmTd27WTRCw_YzQuMPEtPgQWxSbV29sw3vtzC5or
HEF4081B,I1_11_6,47,https://assets.nexperia.com/documents/data-sheet/HEF4081B.pdf
DG201BDJ = DG201A,I1_11_7,26,https://www.vishay.com/docs/70037/dg201b.pdf
DM74241N,I1_12_1,18,…
4029,I1_12_1,22,https://www.ti.com/lit/ds/symlink/cd4029b-mil.pdf?ts=1751218501897&ref_url=https%253A%252F%252Fwww.google.com%252F
SN74LS245 = SN74HCT245N,I1_12_2,38,https://www.ti.com/lit/ds/symlink/sn74ls245.pdf?ts=1751183174024&ref_url=https%253A%252F%252Fwww.google.com%252F
74HC573 = 74ALS573,I1_12_3,33,https://www.ti.com/lit/ds/symlink/sn54hct245.pdf?ts=1751264403062&ref_url=https%253A%252F%252Fwww.mouser.in%252F
HCF4040,I1_12_3,7,https://www.rxelectronics.com.ua/datasheet/f5/HCF4040M013TR.pdf
74LS244 = 74HC244,I1_12_4,29,https://www.ti.com/lit/ds/symlink/sn74s244.pdf
MC74LS273,I1_12_5,21,https://www.thegeekpub.com/wp-content/uploads/2024/02/74ls273-datasheet.pdf?srsltid=AfmBOorSgeysG8ww81ABV-0Y74pHjYKyYqseG7OB6tTUnYGzTqeVOTa3
MC1723CL,I1_12_5,0,https://bg-electronics.de/datenblaetter/Schaltkreise/MC1723CL.pdf
MC1458,I1_12_5,25,https://www.ti.com/lit/ds/symlink/mc1458.pdf?ts=1751262703196&ref_url=https%253A%252F%252Fwww.google.com%252F
ULN2803,I1_12_6,33,https://www.st.com/resource/en/datasheet/uln2801a.pdf
SN74LS374,I1_12_7,2,https://www.ti.com/lit/ds/symlink/sn54ls373-sp.pdf?ts=1751203282939&ref_url=https%253A%252F%252Fwww.google.com%252F
LM339,I1_12_7,24,https://www.ti.com/lit/ds/symlink/lm339-n.pdf
